,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
3497,C,2,1,1,4,1,1,0,0,1,1,1,2,6,6,1,6
3498,C,1,1,1,2,5,5,5,4,1,4,2,2,4,5,5,3
3499,C,1,0,0,1,5,5,6,6,2,4,2,3,1,3,4,2
3500,B,4,3,3,2,0,0,0,0,6,6,6,6,4,0,1,4
3501,B,2,2,3,2,2,3,0,0,1,1,1,2,3,4,0,3
3502,C,1,1,3,3,2,2,2,2,1,2,1,1,3,3,4,1
3503,B,4,5,4,3,0,0,0,0,0,0,1,4,0,0,0,2
3504,B,2,1,2,1,2,3,4,3,4,4,4,2,5,5,6,5
3505,C,2,2,2,2,5,4,5,5,5,3,3,4,6,5,6,6
3506,B,0,0,0,1,2,2,1,3,3,2,1,2,2,2,1,4
3507,B,2,3,4,4,3,2,3,0,1,1,1,3,6,6,5,4
3508,B,1,1,2,2,5,4,5,5,4,5,4,4,5,6,6,6
3509,B,4,4,4,5,2,1,1,1,1,0,0,1,2,0,0,2
3510,C,4,3,2,1,5,5,5,6,4,2,4,3,0,1,1,2
3511,B,3,4,3,4,4,5,4,4,4,3,1,4,4,3,0,5
3512,B,3,3,3,0,6,6,5,5,0,0,1,0,0,2,3,2
3513,B,6,6,6,6,3,3,3,2,1,1,2,5,2,3,4,6
3514,B,0,1,0,1,6,6,5,4,0,0,1,2,2,3,5,2
3515,D,0,0,0,0,6,6,6,6,6,6,6,6,5,6,6,2
3516,C,5,5,5,6,3,2,3,2,2,2,4,4,0,0,0,5
3517,B,5,5,5,4,4,4,1,3,5,5,5,3,3,4,0,4
3518,B,0,0,0,0,5,5,5,4,3,2,5,0,4,4,5,2
3519,B,5,5,5,4,0,0,0,0,6,5,5,5,6,6,6,2
3520,B,2,1,1,3,1,1,2,1,4,3,5,6,3,4,5,6
3521,B,4,4,4,5,2,3,2,1,1,2,2,1,2,4,1,1
3522,C,1,1,2,2,6,6,6,5,4,5,3,4,3,4,3,5
3523,C,3,3,4,0,5,5,6,6,1,1,1,1,1,1,3,1
3524,B,3,2,0,2,0,1,3,1,5,5,4,6,4,5,4,4
3525,B,3,2,2,4,4,5,4,4,2,4,5,3,2,4,4,5
3526,B,4,3,3,2,3,2,2,0,1,2,5,1,0,1,3,1
3527,B,1,0,1,1,2,2,3,1,1,1,0,1,4,3,3,5
3528,B,3,3,3,3,5,5,3,5,3,1,1,1,3,1,1,2
3529,B,4,3,3,2,4,3,3,2,0,0,3,1,4,4,6,5
3530,B,4,3,3,2,0,0,1,0,5,4,5,3,3,4,5,0
3531,B,5,4,4,3,0,0,0,1,5,5,4,5,1,3,0,2
3532,B,0,0,0,0,1,1,3,3,6,6,6,5,5,4,5,4
3533,E,5,5,5,5,4,4,3,4,6,6,6,6,0,0,1,1
3534,B,0,0,0,0,4,4,4,4,5,5,4,4,3,1,0,3
3535,C,4,4,5,4,4,4,3,2,4,3,4,3,4,5,5,2
3536,B,1,0,1,1,4,5,6,4,2,1,0,4,4,4,4,4
3537,B,5,4,4,4,5,6,6,4,5,4,6,5,1,0,1,0
3538,B,0,0,0,3,2,4,6,4,5,4,4,1,4,2,3,1
3539,C,1,0,0,1,5,4,4,5,3,3,2,1,3,3,3,2
3540,C,5,6,6,5,3,3,3,4,0,0,0,0,1,1,2,0
3541,B,4,5,5,6,5,4,4,5,2,1,2,1,2,2,4,2
3542,C,0,0,0,0,1,1,2,3,5,3,3,5,5,5,5,5
3543,B,1,2,2,3,3,4,5,1,1,1,1,3,5,6,5,1
3544,B,6,6,6,6,4,4,4,3,0,0,0,0,1,2,1,2
3545,B,3,4,2,4,5,6,6,3,2,1,2,5,4,4,5,5
3546,C,5,5,4,4,2,4,2,1,6,6,5,6,6,6,3,6
3547,C,2,3,3,3,2,2,2,3,6,5,4,4,5,6,6,2
3548,D,2,2,3,3,1,1,0,6,4,5,5,1,5,5,5,0
3549,C,2,3,2,4,3,2,3,1,2,2,2,1,5,5,6,3
3550,B,3,3,3,4,0,0,0,0,6,6,6,6,6,6,4,5
3551,C,3,2,3,4,3,3,1,2,2,3,4,3,3,4,0,2
3552,B,0,0,0,1,2,2,3,2,3,4,2,2,4,5,6,5
3553,B,4,4,5,5,4,2,3,5,2,3,4,3,0,0,0,3
3554,B,3,2,3,1,5,5,5,6,1,1,2,1,0,0,1,1
3555,B,5,5,6,6,5,4,5,5,5,6,5,6,4,4,1,3
3556,C,6,6,6,5,6,5,5,4,0,1,2,6,3,5,4,6
3557,C,1,0,0,0,0,0,1,1,5,3,3,5,2,3,1,2
3558,B,4,3,4,5,0,0,0,0,0,0,1,0,6,6,6,3
3559,B,0,0,0,1,6,6,6,6,4,5,6,3,1,2,4,2
3560,B,4,4,4,5,4,4,3,2,5,5,5,6,3,4,5,6
3561,B,6,5,5,5,1,1,2,1,5,5,5,2,5,6,5,3
3562,B,0,0,0,0,0,1,1,2,6,5,4,3,2,1,1,2
3563,C,0,0,1,0,4,3,2,4,5,6,5,4,4,4,4,5
3564,B,1,1,2,2,3,4,5,4,5,6,2,4,6,6,5,6
3565,E,0,0,0,0,6,6,6,6,4,3,3,1,1,2,2,3
3566,G,3,3,4,2,1,1,2,0,1,1,1,5,2,2,3,2
3567,D,4,4,4,4,5,5,4,6,6,5,6,3,2,4,5,3
3568,B,6,6,5,5,3,3,3,3,0,1,2,0,2,4,4,3
3569,B,6,6,6,6,2,4,3,4,1,1,3,4,2,4,5,4
3570,C,4,4,3,5,5,4,3,4,1,1,1,3,1,2,0,2
3571,B,3,4,4,3,2,2,3,2,4,5,5,5,5,5,5,3
3572,C,6,6,6,6,5,6,2,1,6,6,6,6,6,6,6,6
3573,E,4,4,4,3,5,6,6,5,0,0,0,0,1,0,0,0
3574,C,3,3,3,2,3,4,3,5,6,6,6,5,4,5,4,4
3575,B,5,5,5,5,4,4,4,3,2,2,3,5,2,3,4,4
3576,C,1,2,2,1,6,6,6,6,3,3,2,2,2,0,0,4
3577,B,1,1,1,3,5,5,6,5,5,5,6,5,5,5,5,5
3578,B,5,5,5,5,3,3,3,3,4,4,4,4,0,0,1,1
3579,B,6,6,6,6,3,3,2,3,2,4,2,3,1,1,0,3
3580,B,6,6,6,6,1,0,0,2,2,1,1,3,0,1,2,3
3581,C,4,3,3,2,1,1,3,0,2,3,3,1,5,4,5,2
3582,D,0,0,0,2,6,6,6,6,3,2,1,1,2,3,3,2
3583,B,1,1,1,3,2,2,1,4,4,6,5,3,6,5,6,5
3584,B,1,0,0,3,3,5,4,3,6,6,4,6,4,4,2,0
3585,D,0,0,0,0,6,6,6,6,6,5,5,6,0,1,0,2
3586,B,3,2,1,0,0,0,0,1,6,6,5,4,6,6,2,6
3587,B,1,1,0,1,6,6,6,6,3,3,5,6,6,6,6,6
3588,B,0,0,0,1,3,3,4,3,4,4,4,1,3,4,3,3
3589,B,6,6,6,5,6,6,6,6,0,0,0,0,0,0,1,4
3590,B,4,3,4,0,3,3,5,5,2,3,3,1,2,4,0,4
3591,C,0,0,0,1,3,4,4,2,5,4,3,1,5,5,5,2
3592,B,5,6,6,6,4,5,4,4,6,5,5,6,5,6,5,4
3593,B,6,6,6,5,1,1,1,1,5,5,6,6,3,5,6,5
3594,C,0,0,0,0,6,6,5,6,1,0,2,2,0,0,0,1
3595,B,3,2,1,2,3,4,4,5,3,1,1,0,3,2,2,1
3596,B,3,4,4,5,4,4,4,2,3,4,3,5,4,1,2,6
3597,B,6,5,5,4,1,1,1,1,1,3,1,1,1,1,2,4
3598,B,6,6,6,5,6,5,4,4,0,1,2,6,3,5,4,6
3599,B,6,6,6,5,0,0,1,1,2,2,2,1,0,1,0,3
3600,B,1,0,0,2,3,4,3,4,2,1,1,6,4,4,0,6
3601,B,4,4,4,2,3,3,2,3,0,0,0,0,2,2,3,1
3602,B,5,5,5,6,6,6,6,6,1,2,3,0,3,5,6,2
3603,B,5,5,5,5,5,5,5,5,3,2,4,0,1,1,3,4
3604,C,6,6,6,6,4,5,5,5,0,0,1,1,2,2,3,1
