,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
0,C,0,0,0,2,4,3,2,4,6,6,6,2,6,5,5,5
1,B,4,3,4,1,0,0,0,1,5,6,6,4,2,4,1,3
2,B,1,1,1,2,0,0,1,0,5,4,3,5,4,3,3,2
3,B,0,0,0,1,3,3,5,2,4,4,3,1,3,4,2,2
4,C,5,5,5,6,4,4,3,2,5,6,4,6,5,6,6,6
5,B,6,6,6,5,5,5,6,5,0,0,0,0,0,0,1,0
6,C,6,6,6,5,2,3,4,3,1,2,4,1,2,4,5,1
7,B,0,0,0,1,5,5,4,6,0,2,3,0,1,2,4,2
8,B,4,4,5,2,1,1,0,1,2,3,5,3,4,5,6,2
9,C,2,2,2,4,5,6,5,5,0,0,2,0,2,3,4,0
10,C,2,2,1,0,5,4,5,6,1,2,1,5,2,1,2,0
11,B,4,3,3,2,2,2,2,4,3,4,5,3,2,0,1,4
12,B,0,0,0,1,2,3,3,3,5,4,5,3,4,4,5,6
13,B,4,4,3,3,4,4,5,4,2,2,1,3,5,0,0,5
14,B,1,1,1,3,5,5,4,2,3,2,3,4,6,6,6,6
15,B,6,6,6,6,3,3,2,1,4,3,3,6,0,1,3,6
16,B,5,6,5,5,6,6,6,6,0,0,0,1,6,5,4,4
17,B,2,3,3,4,3,2,2,5,2,4,4,3,2,3,4,4
18,B,4,3,2,2,2,2,3,0,5,5,5,5,6,5,6,3
19,C,4,4,4,4,4,5,5,4,5,5,5,4,3,3,3,2
20,C,1,0,1,2,5,5,3,6,1,5,6,1,4,6,6,4
21,B,5,5,5,4,1,1,1,2,5,4,3,5,1,2,2,5
22,B,1,1,1,0,3,5,4,6,4,4,3,2,6,6,6,6
23,B,6,6,6,6,0,0,1,0,3,3,2,5,4,4,6,0
24,B,0,0,0,0,1,2,0,0,2,1,1,4,2,1,1,4
25,B,0,0,2,0,0,1,2,2,3,1,2,3,5,5,0,4
26,B,6,5,5,4,4,5,4,5,1,2,0,1,1,3,4,3
27,B,5,5,5,6,5,4,3,6,0,0,0,0,0,0,0,1
28,C,2,1,1,0,0,0,0,0,6,5,3,4,6,6,4,3
29,B,0,1,1,1,6,6,6,6,5,4,2,3,1,1,0,1
30,B,0,0,0,0,5,6,4,5,5,3,1,5,1,0,0,1
31,B,6,6,6,5,2,2,2,1,0,2,3,1,2,4,2,1
32,B,3,3,3,0,1,1,1,2,6,6,4,2,6,6,4,5
33,B,5,5,5,6,5,4,4,4,4,5,5,3,5,5,6,2
34,B,3,3,2,0,0,0,0,2,2,3,3,4,0,0,1,3
35,B,1,2,1,2,6,6,5,6,2,2,1,3,1,3,2,2
36,D,4,4,3,4,1,1,1,0,5,4,4,4,3,0,1,1
37,C,1,1,2,1,5,6,6,6,4,5,3,4,3,4,4,5
38,C,1,1,0,1,6,6,6,6,3,6,6,6,3,5,4,2
39,B,3,3,3,1,1,0,1,1,0,0,0,1,2,1,0,1
40,B,3,3,2,4,3,4,1,4,0,3,4,0,0,1,2,0
41,C,1,1,2,1,5,5,5,5,4,3,6,4,6,6,6,6
42,B,4,4,4,4,1,1,1,0,5,6,5,6,0,0,0,0
43,B,0,0,0,0,0,0,0,1,5,5,6,6,1,1,2,3
44,C,3,3,3,4,3,3,4,2,1,1,2,1,2,3,4,5
45,C,2,2,2,0,1,1,2,2,3,1,2,2,5,4,5,2
46,B,6,6,6,6,2,1,1,2,0,1,2,0,5,6,6,1
47,C,0,0,1,0,2,2,4,3,5,5,2,3,4,3,4,6
48,D,6,6,6,6,6,6,6,6,0,0,0,0,3,3,4,1
49,C,5,5,5,4,0,0,0,0,4,4,2,2,0,1,0,2
50,B,1,2,2,3,3,4,2,4,5,3,2,5,3,4,0,6
51,B,6,6,6,6,5,3,2,5,1,1,1,1,5,5,6,2
52,B,0,0,0,0,1,1,1,1,4,2,2,5,6,2,4,5
53,C,1,0,0,3,1,0,0,0,2,3,4,2,4,2,2,5
54,B,6,6,5,6,3,2,3,2,6,6,6,3,5,5,6,1
55,B,0,0,0,0,0,2,2,1,1,0,1,2,3,4,3,3
56,B,0,0,1,0,6,6,6,6,6,6,6,3,2,3,4,1
57,B,5,4,4,2,0,0,0,0,6,6,6,5,3,0,0,3
58,B,6,6,5,5,1,1,1,1,3,3,4,4,2,3,5,5
59,C,4,5,4,5,6,6,6,6,1,0,0,1,2,2,2,2
60,B,6,6,6,5,1,1,0,3,3,2,2,4,0,0,0,1
61,B,6,5,5,4,1,1,1,2,3,3,2,3,2,1,0,4
62,B,3,2,2,2,0,1,1,5,5,4,4,3,0,1,2,4
63,B,4,4,4,2,0,0,2,1,1,2,4,6,0,1,3,5
64,B,3,4,4,3,4,4,4,4,1,0,0,2,2,2,2,5
65,D,6,6,6,6,6,5,5,5,1,1,2,0,0,0,0,0
66,B,5,5,4,3,2,2,2,1,0,0,2,0,1,2,4,0
67,C,0,0,1,3,2,1,1,2,1,2,4,0,3,4,5,1
68,B,5,5,5,5,2,2,4,3,2,3,3,2,5,5,4,5
69,C,5,4,4,2,0,1,2,2,4,3,3,6,1,0,0,3
70,B,6,6,6,5,1,0,1,0,5,6,5,6,1,2,0,4
71,B,0,1,2,0,6,6,6,6,0,1,2,1,0,1,1,1
72,B,1,0,0,0,1,1,1,2,4,3,3,1,2,4,5,1
73,B,5,5,5,4,1,2,4,0,5,4,2,6,3,2,3,3
74,B,2,2,2,2,1,1,3,1,1,1,0,4,5,5,5,3
75,B,0,0,0,1,6,5,4,4,5,4,5,1,4,4,3,2
76,B,5,5,5,5,0,0,0,1,6,5,5,3,4,4,0,1
77,B,4,4,5,5,5,4,4,5,5,5,4,3,5,5,3,5
78,B,0,1,1,2,1,0,0,1,6,4,6,1,5,6,6,6
79,B,5,5,5,6,5,6,6,3,4,5,6,5,0,0,0,5
80,B,4,4,3,4,5,5,5,3,5,4,2,5,3,4,2,2
81,B,0,0,0,2,2,1,1,3,2,1,4,2,1,0,0,2
82,B,6,6,6,6,0,0,0,0,5,4,4,6,1,2,3,5
83,B,2,2,2,1,1,2,3,1,4,5,4,6,1,3,4,6
84,B,5,5,5,5,0,0,0,0,4,3,4,6,4,4,5,5
85,B,0,1,1,0,2,1,2,4,3,5,4,3,2,4,4,5
86,B,1,2,2,2,6,6,6,5,4,3,3,5,6,6,6,6
87,B,5,5,5,6,2,1,0,1,4,2,4,1,1,2,4,1
88,C,1,1,1,3,2,3,3,2,1,1,2,3,6,5,6,5
89,B,3,3,2,3,6,5,3,4,3,3,3,4,4,3,2,5
90,B,0,0,0,1,5,5,5,3,3,4,4,1,1,2,3,0
91,B,1,1,3,3,6,5,5,5,3,3,0,6,2,2,2,6
92,B,6,6,6,6,2,1,1,0,3,4,4,1,1,1,2,1
93,C,0,0,0,1,2,0,1,1,4,4,2,3,6,6,5,5
94,B,3,2,2,0,5,6,6,5,3,2,1,1,2,1,2,1
95,B,1,1,1,3,4,4,5,3,5,4,6,1,6,6,6,1
96,B,2,3,3,3,1,2,4,1,3,2,1,3,3,5,1,1
97,B,5,5,5,5,0,0,2,1,6,6,5,3,2,2,1,0
98,E,0,1,1,1,6,6,5,5,2,1,0,2,3,3,2,4
99,C,5,6,6,5,0,0,0,0,4,5,5,6,2,0,0,1
100,B,1,1,1,2,5,5,4,5,1,1,2,4,3,4,5,5
101,B,1,1,1,2,3,3,3,3,3,4,4,4,2,3,1,4
102,C,4,4,3,4,2,2,4,2,3,3,2,2,0,1,3,2
103,C,0,0,1,2,4,4,4,6,4,3,3,3,3,2,4,2
104,B,3,3,3,3,0,0,1,2,4,6,6,5,2,2,4,6
105,B,4,4,4,5,2,1,1,0,6,6,6,6,6,6,6,0
106,B,2,3,2,3,2,1,1,4,6,6,5,5,5,1,0,6
107,B,4,4,4,3,3,3,3,3,0,0,0,0,1,1,1,3
108,B,1,1,1,0,0,0,1,1,5,2,1,4,5,5,3,2
109,C,1,1,2,1,2,3,4,2,4,4,4,3,6,6,3,5
110,C,1,0,0,0,3,3,2,5,6,5,4,4,4,2,4,6
111,B,2,2,1,0,2,3,2,2,6,5,4,3,5,2,4,6
112,D,4,4,4,4,1,1,1,0,5,6,6,5,0,1,2,4
113,B,1,0,0,1,4,4,4,5,5,5,5,2,6,5,5,2
114,D,3,3,3,4,2,2,2,2,3,3,3,4,0,1,2,2
115,C,5,5,6,6,4,4,4,5,3,3,2,1,5,6,3,2
116,B,6,5,5,6,0,0,0,0,6,6,6,6,4,5,4,2
117,B,0,0,0,0,2,1,2,4,5,6,5,3,5,4,4,6
118,B,6,6,6,6,4,4,4,3,2,3,4,3,1,3,5,1
119,C,1,1,0,1,3,3,2,4,1,1,0,0,1,0,0,0
120,B,3,3,2,1,1,2,3,3,1,0,1,2,0,0,2,3
121,B,1,2,4,2,3,2,2,1,3,4,3,4,6,4,5,6
122,C,2,1,1,0,0,1,2,0,4,3,1,5,4,4,1,4
123,C,1,1,2,3,2,1,2,0,3,4,5,5,4,5,1,4
124,B,1,1,2,1,5,3,4,3,2,4,0,5,4,5,5,6
125,E,6,6,6,6,5,4,4,5,0,0,1,2,3,3,5,0
126,B,6,6,6,6,0,0,0,0,3,3,5,5,3,4,6,3
127,B,3,3,2,4,1,2,3,2,1,1,1,0,0,0,0,1
128,C,6,5,5,4,0,0,0,0,6,6,5,6,5,6,3,6
129,B,4,4,4,4,1,1,3,3,2,3,4,1,1,3,5,3
130,D,1,2,2,4,6,4,3,1,5,3,4,6,3,4,4,0
131,C,3,2,3,2,2,1,4,5,3,3,0,4,3,2,2,4
132,B,3,3,3,3,5,5,5,4,6,5,5,5,6,6,5,2
133,C,2,2,2,1,6,6,6,6,6,6,6,6,6,6,3,5
134,C,5,5,5,4,1,2,1,3,5,5,4,5,5,4,5,4
135,C,3,3,3,3,4,5,5,3,3,4,4,4,2,4,6,6
136,B,3,1,1,0,5,6,6,6,1,1,0,5,1,1,0,2
137,B,3,2,2,0,1,1,2,1,6,5,6,4,6,6,6,4
138,B,2,2,2,2,1,0,1,2,1,0,1,1,0,0,0,4
139,B,6,6,6,6,5,4,5,5,0,1,1,0,1,1,1,1
140,B,3,2,3,1,2,1,2,2,1,0,0,2,1,0,0,3
141,C,1,1,1,2,3,2,2,2,6,5,6,4,4,4,0,2
142,B,1,1,0,1,0,0,1,1,6,6,3,5,2,2,2,4
143,B,5,5,6,6,0,0,0,0,6,6,6,6,4,2,4,5
144,B,0,0,0,0,6,6,6,6,5,5,5,4,2,3,4,4
145,B,6,5,5,5,0,0,0,0,6,6,6,6,4,2,2,4
146,B,0,0,0,0,3,4,2,3,6,6,6,6,6,6,6,6
147,C,0,0,0,1,5,6,6,5,1,0,0,1,3,3,1,5
148,B,0,0,1,1,6,5,5,6,1,2,2,1,5,6,4,5
149,B,1,0,0,2,3,2,3,4,2,3,3,4,4,4,5,2
150,B,0,0,0,0,3,4,4,3,2,1,2,1,3,3,5,5
151,C,6,6,6,5,3,2,1,4,2,3,2,4,2,2,4,5
152,B,0,0,1,0,0,0,2,0,5,4,3,6,4,4,3,3
153,B,1,1,2,2,4,5,4,2,1,2,4,1,5,6,6,1
154,B,3,3,3,1,1,1,0,0,6,5,1,1,1,2,1,1
155,B,5,6,6,6,6,5,5,5,4,5,5,5,0,2,3,6
156,B,5,5,5,4,4,5,5,6,0,0,0,0,0,0,1,0
157,B,6,6,6,5,4,4,4,4,1,1,1,1,0,0,1,6
158,B,4,4,4,5,4,2,3,4,1,1,2,1,4,2,3,4
159,B,0,0,0,0,2,2,4,3,5,6,5,5,6,6,0,6
160,D,3,2,3,3,5,5,5,4,5,4,4,5,1,1,2,1
161,B,0,1,1,1,0,0,1,1,2,1,1,1,2,3,2,4
162,B,4,4,4,4,5,5,6,2,0,0,1,2,4,3,4,0
163,B,5,6,6,6,4,4,4,5,6,6,6,6,4,4,5,4
164,B,5,5,5,5,4,4,3,4,4,3,4,6,1,0,1,6
165,C,5,5,5,5,0,0,0,0,6,6,6,6,4,4,5,3
166,E,0,0,0,0,2,1,1,2,3,1,1,1,5,1,2,3
167,B,4,4,4,4,1,1,0,1,5,5,5,6,6,6,6,5
168,B,3,2,2,1,4,4,3,4,6,6,6,4,4,5,3,1
169,B,6,6,6,6,3,3,2,4,6,6,6,6,5,6,6,4
170,C,4,4,5,5,3,3,4,2,5,5,5,4,3,5,0,0
171,C,2,3,3,3,4,4,5,5,4,4,4,3,6,6,6,5
172,B,1,1,2,2,3,3,3,3,3,5,4,2,6,6,6,3
173,C,6,5,5,5,3,3,2,4,6,6,6,6,6,6,6,6
174,D,6,6,6,6,5,4,5,5,0,0,0,0,3,3,4,1
175,B,0,0,0,1,6,6,6,6,1,3,5,2,6,6,6,5
176,B,6,6,6,5,5,3,3,4,0,1,0,3,3,0,0,3
177,B,0,0,0,0,1,2,3,1,3,2,1,4,4,4,2,0
178,B,0,1,3,1,6,6,6,6,1,0,0,2,0,1,0,2
179,B,3,2,3,4,3,4,4,3,4,2,2,3,6,5,5,4
180,E,0,1,0,1,6,6,5,5,3,2,2,3,3,1,1,2
181,B,1,1,1,0,1,1,1,1,6,6,6,5,4,5,5,4
182,B,4,4,3,4,0,0,0,0,1,1,2,2,2,2,4,2
183,B,2,2,1,4,5,5,5,5,2,3,2,3,5,4,3,3
184,B,6,6,6,6,5,5,3,5,1,1,2,0,1,3,3,0
185,C,6,6,6,6,0,1,1,0,2,1,1,4,0,0,1,3
186,B,4,4,4,4,5,4,3,5,0,0,0,0,0,0,0,0
187,B,6,6,6,6,4,4,6,4,2,4,2,1,4,6,1,1
188,B,4,4,3,4,1,2,3,0,4,4,5,6,0,1,2,4
189,C,5,5,5,5,0,0,0,0,6,6,6,4,4,4,4,3
190,B,6,6,6,6,1,1,1,2,4,4,4,6,1,1,2,4
191,B,4,4,4,5,1,1,2,1,6,6,5,6,4,4,5,4
192,C,0,0,0,0,1,1,3,1,3,3,1,2,5,6,3,5
193,B,0,0,1,0,1,1,1,1,2,3,4,4,4,4,5,4
194,B,6,6,6,6,2,1,2,2,4,5,5,6,1,1,2,4
195,B,6,6,5,5,5,6,6,1,3,5,6,4,6,6,6,1
196,C,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,0
197,B,2,1,1,1,0,0,0,0,6,4,4,6,2,1,1,2
198,B,4,4,4,4,6,6,6,6,6,6,6,3,0,1,1,3
199,C,0,1,1,2,6,6,6,6,1,1,0,3,0,1,2,5
200,B,0,0,0,0,6,6,4,6,3,3,2,0,5,5,3,1
201,B,3,3,3,2,5,5,5,5,4,3,4,4,3,3,5,1
202,B,5,5,4,3,6,6,5,5,4,6,6,6,5,6,6,4
203,B,6,6,6,5,1,1,1,3,3,2,3,3,1,0,0,2
204,B,4,3,3,3,5,6,6,4,5,4,4,4,1,3,3,1
205,B,2,3,2,3,0,0,0,0,5,5,3,4,3,0,0,2
206,B,3,2,2,1,4,3,4,2,3,1,2,2,4,4,6,4
207,B,3,2,0,0,1,2,1,1,6,6,6,6,6,6,6,1
208,B,0,0,0,1,6,6,6,5,3,3,5,2,2,2,3,2
209,B,5,5,5,5,5,4,3,4,5,5,3,4,4,5,2,6
210,B,0,1,0,0,4,5,4,4,2,1,1,2,4,4,2,4
211,B,3,2,4,5,6,6,6,6,1,4,2,1,4,6,0,4
212,B,0,1,1,0,4,5,5,6,1,0,0,1,6,6,4,1
213,C,2,2,1,3,3,3,4,4,2,1,1,1,6,6,4,2
214,B,2,2,2,2,2,1,1,1,6,6,6,6,0,0,1,0
215,C,6,6,6,6,2,3,2,1,4,3,3,3,2,2,1,5
216,B,1,1,2,1,2,2,1,4,5,4,5,4,4,3,4,5
217,B,2,3,3,3,6,6,6,6,4,4,4,4,5,6,6,5
218,B,6,6,6,6,5,4,4,4,6,6,6,5,5,6,6,3
219,B,1,1,0,0,1,1,2,3,5,4,2,2,5,4,0,4
220,C,6,5,5,5,2,2,2,4,6,6,6,6,5,6,6,6
221,B,0,0,0,0,3,3,4,3,5,5,3,6,3,4,3,4
222,B,5,6,5,4,1,1,1,1,0,0,0,3,0,0,0,0
223,B,4,4,4,4,5,5,4,3,3,5,5,3,2,4,5,3
224,C,6,5,5,5,2,1,1,4,1,1,1,1,5,5,5,3
225,C,2,2,1,1,5,5,3,5,6,6,5,2,5,6,5,6
226,B,5,5,4,3,1,2,2,2,4,4,3,5,0,1,1,4
227,B,2,1,1,1,5,5,5,5,3,1,3,2,1,2,4,5
228,B,5,6,6,6,1,2,3,2,2,2,2,3,4,5,0,5
229,B,3,4,4,4,3,4,3,3,4,5,3,5,6,3,4,4
230,B,1,1,1,2,3,4,4,1,3,3,5,4,5,6,6,6
231,B,1,1,0,1,6,6,5,6,2,2,1,4,2,3,1,3
232,B,0,0,0,0,5,5,5,6,2,1,3,0,0,1,3,3
233,B,5,6,6,5,1,1,0,0,3,3,2,6,4,4,0,6
234,C,0,0,0,0,1,1,2,1,6,6,6,6,4,5,5,3
235,B,0,1,2,2,3,5,5,1,4,3,3,4,3,4,1,5
236,B,1,3,2,1,6,6,5,6,1,0,1,0,3,2,4,1
237,B,4,5,4,5,1,1,0,1,4,4,3,5,3,2,2,6
238,B,3,4,3,4,2,3,2,3,0,1,1,1,4,3,5,3
239,B,5,6,5,6,2,1,1,2,6,6,6,5,6,6,6,6
240,B,4,4,4,5,1,1,1,1,4,4,5,4,0,2,4,2
241,B,0,0,0,0,2,3,4,2,3,3,3,0,1,2,3,1
242,D,5,6,6,5,2,2,3,1,0,0,0,0,0,0,0,0
243,B,4,5,5,5,5,4,4,4,0,0,0,2,3,4,6,4
244,B,6,6,6,6,1,1,1,0,5,5,4,5,5,6,2,1
245,C,1,1,1,1,4,3,4,6,4,4,3,2,2,1,0,4
246,B,2,1,1,4,4,5,5,2,1,1,1,1,5,5,6,1
247,B,1,1,2,2,5,3,5,5,6,5,3,3,5,2,3,1
248,B,6,6,6,6,1,2,3,1,2,3,3,2,4,5,6,3
249,C,4,4,4,5,4,3,3,4,2,2,4,2,3,4,6,2
250,B,5,5,6,5,2,4,3,0,3,5,4,5,5,6,5,4
251,B,6,6,6,6,2,2,3,1,4,4,4,6,4,5,4,4
252,B,0,0,0,0,2,2,2,4,6,6,6,6,4,5,5,1
253,B,5,5,5,4,1,1,1,1,4,4,4,5,5,4,4,3
254,B,3,3,2,1,1,1,1,0,2,1,3,6,1,0,1,2
255,B,4,4,4,5,4,4,3,1,5,6,5,6,6,6,6,4
256,B,5,5,6,5,4,4,4,3,0,0,0,0,3,3,4,4
257,C,1,1,2,2,6,6,5,6,3,4,4,3,6,6,5,6
258,B,1,0,0,1,2,2,2,3,1,4,5,1,2,4,4,2
259,B,0,0,1,0,2,2,1,2,1,1,2,1,3,3,5,5
260,B,0,0,0,1,6,6,6,6,1,2,5,1,1,2,4,5
261,D,4,4,4,2,2,3,3,2,6,6,6,5,3,2,4,4
262,B,0,1,0,0,3,4,5,5,1,2,2,1,0,1,2,1
263,B,0,0,0,2,4,3,2,2,3,2,2,1,5,4,3,3
264,B,5,5,5,5,0,0,1,0,5,4,5,6,4,4,6,2
265,D,1,1,1,3,6,6,6,6,1,2,3,1,0,2,3,1
266,B,3,2,3,3,4,6,4,1,0,0,0,1,2,4,5,0
267,B,6,6,6,6,4,4,4,4,5,4,5,5,1,1,2,4
268,B,4,4,4,5,1,2,3,2,3,2,2,2,4,3,1,1
269,B,1,1,0,0,1,2,2,2,6,5,6,6,4,2,3,3
270,B,6,6,6,6,0,0,0,0,5,6,6,5,2,4,6,6
271,C,2,2,2,4,4,4,3,3,1,1,2,2,5,5,5,0
272,B,2,3,4,2,1,2,2,1,2,1,1,3,6,6,6,5
273,D,3,2,2,1,2,3,4,1,2,2,1,0,2,3,4,2
274,B,4,3,3,2,0,1,3,2,3,2,4,4,4,4,6,3
275,C,4,3,4,4,4,4,3,4,5,6,6,5,0,1,2,1
276,B,0,0,0,0,5,5,5,4,5,4,5,3,4,5,4,3
277,B,6,6,6,6,3,3,4,1,0,0,0,1,0,0,0,4
278,B,1,2,2,2,3,3,4,4,4,4,4,2,4,3,2,6
279,C,3,3,4,4,2,2,1,3,2,2,5,3,2,2,3,3
280,C,3,3,3,0,0,0,0,1,3,4,5,4,0,2,4,4
281,E,1,0,0,3,4,3,0,4,3,2,3,6,4,3,3,2
282,B,4,4,4,4,3,4,5,3,4,4,5,3,0,0,0,1
283,B,6,6,6,6,2,2,1,2,2,2,3,3,4,4,4,5
284,B,0,0,1,1,3,3,5,4,0,0,0,0,6,6,6,6
285,B,2,2,1,3,5,5,5,4,1,1,1,3,0,0,0,6
286,B,2,2,2,1,1,1,0,1,3,4,5,6,0,1,2,6
287,C,3,3,3,4,2,2,2,2,4,4,4,4,0,0,0,0
288,B,2,2,3,3,0,0,0,0,6,6,6,3,5,5,5,4
289,B,2,2,2,1,3,3,4,2,1,1,1,3,5,5,6,5
290,D,3,3,4,4,4,4,5,2,3,2,2,6,6,5,6,6
291,B,6,6,6,6,4,4,4,5,2,2,4,0,0,1,2,0
292,C,1,2,2,3,1,1,1,0,1,1,1,3,5,5,3,5
293,B,4,4,3,4,1,1,1,2,2,2,3,2,4,4,5,2
294,B,3,3,3,3,5,4,4,5,4,3,2,0,6,5,4,4
295,B,3,3,2,4,5,4,4,4,5,5,1,5,5,6,2,3
296,C,4,3,3,0,2,3,3,5,2,2,1,3,1,3,0,5
297,C,2,2,2,3,4,4,4,5,6,6,6,6,5,5,4,5
298,B,3,3,2,3,0,0,0,0,4,4,3,6,0,0,0,0
299,B,6,6,6,5,4,3,3,1,2,3,4,2,4,4,3,1
300,C,6,6,6,6,5,2,3,4,6,6,6,5,3,5,3,0
301,B,4,4,5,5,3,2,2,2,3,4,6,3,3,4,5,1
302,C,5,6,6,6,1,1,1,0,3,5,6,5,3,3,5,4
303,F,4,4,5,5,3,2,3,5,0,3,1,0,3,5,2,1
304,B,5,5,5,4,6,6,6,6,1,1,1,2,4,1,2,4
305,C,6,6,6,6,4,3,3,4,2,3,2,4,4,6,1,4
306,B,4,4,4,5,4,5,4,4,2,2,2,2,2,2,2,2
307,B,5,6,6,6,5,5,4,4,5,5,4,6,2,4,5,6
308,B,1,2,3,0,4,4,3,3,3,3,3,1,2,1,0,2
309,B,2,2,1,2,1,1,2,2,5,5,2,4,2,3,4,0
310,B,3,2,1,4,4,4,3,4,3,2,3,5,6,6,6,4
311,B,5,5,5,4,1,1,1,2,1,1,2,1,0,2,3,4
312,B,6,6,6,5,5,6,6,5,0,0,1,3,1,0,1,4
313,C,6,6,6,6,1,2,2,1,3,3,3,2,1,0,0,2
314,B,6,6,5,6,1,0,0,1,3,5,4,4,0,2,1,1
315,B,0,0,0,0,1,1,1,4,3,2,4,1,4,3,5,1
316,B,0,0,0,0,2,3,3,3,0,0,0,0,3,4,6,4
317,B,6,6,6,6,0,0,0,0,5,3,4,6,1,2,4,6
318,B,3,3,3,4,3,3,3,2,1,1,2,2,3,2,3,1
319,B,2,1,1,2,5,6,6,6,3,1,1,1,3,2,0,4
320,C,2,1,0,0,2,3,3,4,6,4,2,3,5,6,5,0
321,B,6,6,6,6,1,1,1,3,4,3,3,3,4,3,5,2
322,B,0,0,0,0,2,3,5,2,4,4,6,1,5,3,4,3
323,B,4,5,4,5,2,1,2,3,0,0,0,0,1,2,4,6
324,B,1,1,2,3,3,4,4,2,2,3,3,2,3,4,3,2
325,C,1,1,0,3,4,4,5,2,5,4,6,1,6,6,6,1
326,C,3,4,5,4,5,5,5,3,2,1,1,5,5,5,0,6
327,B,5,6,5,6,6,5,2,4,6,6,6,5,3,4,6,1
328,B,3,3,3,5,4,4,2,4,3,3,5,6,5,5,6,1
329,B,2,3,2,3,6,6,6,6,1,2,2,2,3,2,1,5
330,B,3,2,1,2,3,3,2,4,6,6,6,5,3,4,1,3
331,B,6,6,6,6,2,2,3,2,1,1,1,3,1,0,0,6
332,B,4,4,4,3,1,0,0,2,6,6,6,6,6,6,6,4
333,B,0,0,0,0,6,6,6,6,6,5,3,2,1,2,2,0
334,B,5,5,6,4,2,2,3,3,4,2,3,4,2,1,2,4
335,B,1,0,0,1,4,4,4,4,2,1,1,2,4,4,4,6
336,B,2,3,2,3,1,1,2,2,6,6,6,5,1,2,3,5
337,B,6,6,6,6,1,1,1,3,4,3,2,3,3,3,5,2
338,B,2,2,1,0,1,2,3,2,3,3,3,6,2,4,5,0
339,C,3,3,3,3,2,3,4,2,6,6,6,6,0,1,3,3
340,B,6,6,6,4,0,1,0,3,6,6,6,6,4,3,3,6
341,B,5,5,5,4,3,2,2,3,3,4,5,2,2,3,4,3
342,B,0,0,0,1,4,3,3,4,4,5,6,4,2,3,4,6
343,B,4,4,3,4,6,6,6,6,4,5,4,3,4,5,6,5
344,B,3,3,4,5,5,5,5,4,3,3,5,4,5,5,5,1
345,B,6,6,6,6,0,0,0,0,4,3,3,4,1,2,2,3
346,B,3,2,1,1,1,1,0,3,6,6,6,6,0,0,0,6
347,B,5,5,5,6,4,3,2,2,1,2,3,4,3,3,5,5
348,B,2,3,4,3,5,5,6,5,4,3,4,3,4,5,3,5
349,B,5,5,5,4,0,0,1,1,5,4,5,4,4,2,3,3
350,B,1,1,1,3,5,5,4,5,2,2,5,2,4,4,5,3
351,B,0,0,0,1,3,3,3,4,3,1,1,1,2,2,1,2
352,C,5,5,5,3,1,2,1,2,6,6,6,6,3,2,4,6
353,D,3,2,2,1,2,3,4,1,2,2,1,0,2,3,4,2
354,C,4,5,4,5,4,5,5,4,5,5,3,2,5,5,6,3
355,B,4,4,5,5,5,5,4,5,2,1,0,1,5,2,3,1
356,B,6,6,6,6,5,5,5,5,0,1,0,0,0,1,3,1
357,B,2,1,0,3,4,4,1,5,1,1,3,3,1,3,4,2
358,B,1,1,1,1,4,3,2,4,4,4,5,2,6,6,6,3
359,C,5,5,5,6,5,5,5,6,0,0,0,0,2,3,4,0
360,B,5,5,5,6,6,6,5,5,2,3,4,1,4,5,5,1
361,B,6,6,6,6,4,5,4,5,1,0,0,2,2,2,4,6
362,B,1,2,2,2,1,1,3,1,5,5,3,1,6,6,6,4
363,B,3,3,4,1,2,2,1,1,0,0,0,4,0,0,0,1
364,C,1,0,0,3,2,4,2,2,6,5,3,5,3,2,2,0
365,C,5,6,5,6,1,1,2,1,6,6,6,5,4,5,6,1
366,B,3,1,0,0,1,1,2,2,5,5,3,4,6,5,6,6
367,C,0,2,2,2,2,2,2,2,4,5,4,4,3,4,1,5
368,C,3,2,2,0,2,4,4,2,3,5,4,3,1,1,0,1
369,B,1,2,3,1,2,3,3,3,2,0,1,2,2,2,3,5
370,E,4,3,3,3,1,1,1,0,0,0,0,1,1,3,2,3
371,B,2,2,2,1,0,0,0,0,5,6,6,5,2,4,4,3
372,B,6,6,6,6,0,0,0,0,6,4,5,5,1,0,0,2
373,C,5,5,5,5,5,4,3,5,5,6,6,4,5,6,5,0
374,B,1,0,0,1,0,0,0,0,6,6,5,5,6,6,5,3
375,B,4,4,4,3,0,0,0,2,5,5,3,5,1,3,0,5
376,B,0,0,0,0,4,4,3,2,1,1,1,4,4,5,4,5
377,C,6,6,5,5,0,0,0,0,4,5,6,6,3,5,6,3
378,B,5,6,5,5,6,5,3,5,1,1,1,2,1,0,0,2
379,B,0,0,0,1,6,6,6,6,4,4,5,2,2,3,4,3
380,B,2,2,1,3,2,2,3,5,2,3,1,3,1,1,2,2
381,B,3,3,2,1,1,2,2,1,0,0,0,1,0,0,1,0
382,B,0,0,0,1,3,2,2,4,4,5,6,2,4,4,5,2
383,B,2,3,3,2,5,5,4,4,5,5,5,5,6,5,6,6
